x-axis,1,2
second,Volt,Volt
-6.0600E-03,-143.5349E-03,-111.6159E-03
-6.0500E-03,-144.0374E-03,-111.8986E-03
-6.0400E-03,-144.7126E-03,-112.0556E-03
-6.0300E-03,-145.2937E-03,-112.2597E-03
-6.0200E-03,-145.6391E-03,-112.4796E-03
-6.0100E-03,-145.8433E-03,-112.9036E-03
-6.0000E-03,-146.0631E-03,-113.1548E-03
-5.9900E-03,-146.2987E-03,-114.1128E-03
-5.9800E-03,-146.7227E-03,-114.5682E-03
-5.9700E-03,-147.3037E-03,-115.2905E-03
-5.9600E-03,-147.9004E-03,-115.5732E-03
-5.9500E-03,-148.4187E-03,-115.9187E-03
-5.9400E-03,-148.8269E-03,-116.1699E-03
-5.9300E-03,-149.2981E-03,-116.3898E-03
-5.9200E-03,-149.7535E-03,-117.0964E-03
-5.9100E-03,-149.8163E-03,-117.1749E-03
-5.9000E-03,-150.0675E-03,-117.7717E-03
-5.8900E-03,-150.5700E-03,-118.4312E-03
-5.8800E-03,-150.8213E-03,-118.9337E-03
-5.8700E-03,-151.3238E-03,-119.4362E-03
-5.8600E-03,-151.8263E-03,-119.9388E-03
-5.8500E-03,-152.3288E-03,-120.0801E-03
-5.8400E-03,-152.9570E-03,-120.4413E-03
-5.8300E-03,-153.4124E-03,-120.6925E-03
-5.8200E-03,-153.8364E-03,-120.9438E-03
-5.8100E-03,-153.8364E-03,-121.1950E-03
-5.8000E-03,-154.0876E-03,-121.4463E-03
-5.7900E-03,-154.3389E-03,-122.4513E-03
-5.7800E-03,-154.4645E-03,-122.8282E-03
-5.7700E-03,-154.8414E-03,-123.4563E-03
-5.7600E-03,-155.5952E-03,-123.9589E-03
-5.7500E-03,-156.0977E-03,-124.2101E-03
-5.7400E-03,-156.5688E-03,-124.4143E-03
-5.7300E-03,-157.2754E-03,-124.7126E-03
-5.7200E-03,-157.6052E-03,-124.9639E-03
-5.7100E-03,-157.8565E-03,-125.5449E-03
-5.7000E-03,-157.9193E-03,-125.8119E-03
-5.6900E-03,-158.3590E-03,-126.7227E-03
-5.6800E-03,-158.6102E-03,-126.9739E-03
-5.6700E-03,-159.1127E-03,-127.4764E-03
-5.6600E-03,-159.8665E-03,-127.8533E-03
-5.6500E-03,-160.2277E-03,-128.2302E-03
-5.6400E-03,-160.8715E-03,-128.4187E-03
-5.6300E-03,-161.3741E-03,-128.9840E-03
-5.6200E-03,-161.6253E-03,-128.9526E-03
-5.6100E-03,-161.8766E-03,-129.6121E-03
-5.6000E-03,-162.1278E-03,-129.9890E-03
