x-axis;1;2
second;Volt;Volt
-1.020000E-03;;
-1.015000E-03;-1.020061233E+00;-1.419715751E+00
-1.010000E-03;-1.020532338E+00;-1.419323163E+00
-1.005000E-03;-1.019904198E+00;-1.419715751E+00
-1.000000E-03;-1.021317514E+00;-1.420972032E+00
-995.000E-06;-1.020061233E+00;-1.420814997E+00
-990.000E-06;-1.018804951E+00;-1.419715751E+00
-985.000E-06;-1.019511610E+00;-1.419715751E+00
-980.000E-06;-1.020532338E+00;-1.420186856E+00
-975.000E-06;-1.021317514E+00;-1.420029821E+00
-970.000E-06;-1.021317514E+00;-1.418459469E+00
-965.000E-06;-1.021317514E+00;-1.418459469E+00
-960.000E-06;-1.021003444E+00;-1.419401680E+00
-955.000E-06;-1.021317514E+00;-1.419715751E+00
-950.000E-06;-1.020610856E+00;-1.420265374E+00
-945.000E-06;-1.021317514E+00;-1.420972032E+00
-940.000E-06;-1.020061233E+00;-1.419715751E+00
-935.000E-06;-1.020061233E+00;-1.420972032E+00
-930.000E-06;-1.020375303E+00;-1.420029821E+00
-925.000E-06;-1.020061233E+00;-1.419715751E+00
-920.000E-06;-1.019511610E+00;-1.420343891E+00
-915.000E-06;-1.021317514E+00;-1.419715751E+00
-910.000E-06;-1.020061233E+00;-1.419637233E+00
-905.000E-06;-1.021317514E+00;-1.418537987E+00
-900.000E-06;-1.020061233E+00;-1.420029821E+00
-895.000E-06;-1.020532338E+00;-1.420579444E+00
-890.000E-06;-1.018804951E+00;-1.419715751E+00
-885.000E-06;-1.018804951E+00;-1.420972032E+00
-880.000E-06;-1.019040504E+00;-1.419558716E+00
-875.000E-06;-1.018883469E+00;-1.419715751E+00
-870.000E-06;-1.018804951E+00;-1.419715751E+00
-865.000E-06;-1.018804951E+00;-1.419715751E+00
-860.000E-06;-1.018804951E+00;-1.419087610E+00
-855.000E-06;-1.018804951E+00;-1.419715751E+00
-850.000E-06;-1.020061233E+00;-1.419715751E+00
-845.000E-06;-1.018883469E+00;-1.419715751E+00
-840.000E-06;-1.018961987E+00;-1.419872786E+00
-835.000E-06;-1.020061233E+00;-1.418852057E+00
-830.000E-06;-1.019511610E+00;-1.419087610E+00
-825.000E-06;-1.019590127E+00;-1.419715751E+00
-820.000E-06;-1.020061233E+00;-1.419715751E+00
-815.000E-06;-1.018804951E+00;-1.420893515E+00
-810.000E-06;-1.019982715E+00;-1.420972032E+00
-805.000E-06;-1.021081961E+00;-1.420736479E+00
-800.000E-06;-1.020061233E+00;-1.419715751E+00
-795.000E-06;-1.020689373E+00;-1.419715751E+00
